T,Latitude,Longitude,Speed,Vstack,Current(Pack),SOC,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10,Temp11,Temp12,Temp13,Temp14,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V12,V11,V14,V13,V16,V15,timestampStr
1160315,12.8993516,77.6340199,0,52.42,0,97,30.574,36.913,36.6606,35.6888,34.6782,36.5374,35.652,36.2826,35.207,35.0708,36.2482,35.8492,35.9112,36.6298,3.314,3.32,3.32,3.32,3.32,3.32,3.319,3.319,3.32,3.32,3.321,3.321,3.32,3.32,3.317,3.321,27-12-2022 10:18
1160316,12.8993516,77.6340199,0,52.423,0,97,30.4778,36.6762,36.4212,35.4676,34.4766,36.305,35.4344,36.0648,34.994,34.8612,36.0162,35.6282,35.6822,36.3894,3.314,3.32,3.32,3.32,3.32,3.32,3.319,3.319,3.32,3.32,3.321,3.321,3.32,3.32,3.317,3.32,27-12-2022 10:18
1160317,12.8993516,77.6340199,0,52.423,0,97,30.3816,36.4394,36.1818,35.2464,34.275,36.0726,35.2168,35.847,34.781,34.6516,35.7842,35.4072,35.4532,36.149,3.314,3.32,3.32,3.32,3.32,3.32,3.319,3.319,3.32,3.32,3.321,3.321,3.32,3.32,3.317,3.32,27-12-2022 10:18
1160318,12.8993516,77.6340199,0,52.423,0,97,30.2854,36.2026,35.9424,35.0252,34.0734,35.8402,34.9992,35.6292,34.568,34.442,35.5522,35.1862,35.2242,35.9086,3.314,3.32,3.32,3.32,3.32,3.32,3.319,3.319,3.32,3.32,3.321,3.321,3.32,3.32,3.317,3.32,27-12-2022 10:18
1160319,12.8993516,77.6340199,0,52.423,0,97,30.187,35.9654,35.7028,34.804,33.8718,35.6078,34.7812,35.4116,34.3548,34.2326,35.3202,34.9656,34.9952,35.668,3.314,3.32,3.32,3.32,3.32,3.32,3.319,3.319,3.32,3.32,3.321,3.321,3.32,3.32,3.318,3.321,27-12-2022 10:18
1160326,12.8993516,77.6340199,0,52.423,0,97,30.0888,35.7286,35.4634,34.583,33.6698,35.375,34.5632,35.1942,34.1418,34.0236,35.0886,34.745,34.7666,35.4278,3.314,3.32,3.32,3.32,3.32,3.32,3.319,3.319,3.32,3.32,3.321,3.321,3.32,3.32,3.318,3.321,27-12-2022 10:19
1160327,12.8993516,77.6340199,0,52.423,0,97,29.9906,35.4918,35.224,34.362,33.4678,35.1422,34.3452,34.9768,33.9288,33.8146,34.857,34.5244,34.538,35.1876,3.314,3.32,3.32,3.32,3.32,3.32,3.319,3.319,3.32,3.32,3.321,3.321,3.32,3.32,3.318,3.321,27-12-2022 10:19
1160328,12.8993516,77.6340199,0,52.423,0,97,29.8924,35.255,34.9846,34.141,33.2658,34.9094,34.1272,34.7594,33.7158,33.6056,34.6254,34.3038,34.3094,34.9474,3.314,3.32,3.32,3.32,3.32,3.32,3.319,3.319,3.32,3.32,3.321,3.321,3.32,3.32,3.318,3.321,27-12-2022 10:19
1160329,12.8993516,77.6340199,0,52.423,0,97,29.7944,35.0178,34.7448,33.9198,33.064,34.677,33.909,34.542,33.5024,33.3962,34.3934,34.0832,34.0802,34.7068,3.314,3.32,3.32,3.32,3.32,3.32,3.319,3.319,3.32,3.32,3.321,3.321,3.32,3.32,3.317,3.321,27-12-2022 10:19
1160330,12.8993516,77.6340199,0,52.423,0,97,29.6964,34.7806,34.505,33.6986,32.8622,34.4446,33.6908,34.3246,33.289,33.1868,34.1614,33.8626,33.851,34.4662,3.314,3.32,3.32,3.32,3.32,3.32,3.319,3.319,3.32,3.32,3.321,3.321,3.32,3.32,3.317,3.321,27-12-2022 10:19
1160334,12.8993516,77.6340199,0,52.426,0,97,29.598,34.5438,34.2656,33.4774,32.6606,34.2122,33.4728,34.1072,33.0758,32.9774,33.9296,33.6422,33.622,34.2258,3.314,3.32,3.32,3.32,3.32,3.32,3.319,3.319,3.32,3.32,3.321,3.321,3.32,3.32,3.318,3.321,27-12-2022 10:19
1160335,12.8993516,77.6340199,0,52.423,0.4,97,29.5,34.3068,34.0262,33.2564,32.4588,33.9794,33.2548,33.8896,32.8626,32.7682,33.6978,33.4216,33.3932,33.9854,3.314,3.32,3.32,3.32,3.32,3.32,3.319,3.319,3.32,3.32,3.321,3.321,3.32,3.32,3.318,3.321,27-12-2022 10:19
1160336,12.8993516,77.6340199,0,52.426,0,97,29.4018,34.07,33.787,33.0356,32.257,33.747,33.0368,33.6722,32.6496,32.559,33.4658,33.201,33.1644,33.7452,3.314,3.32,3.32,3.32,3.32,3.32,3.319,3.319,3.32,3.32,3.321,3.321,3.32,3.32,3.318,3.321,27-12-2022 10:19
1160337,12.8993516,77.6340199,0,52.426,0,97,29.3044,33.833,33.5478,32.8146,32.0554,33.5148,32.8188,33.4548,32.4362,32.3498,33.2342,32.9804,32.9358,33.505,3.314,3.32,3.32,3.32,3.32,3.32,3.319,3.319,3.321,3.32,3.321,3.321,3.32,3.32,3.318,3.321,27-12-2022 10:19
1160338,12.8993516,77.6340199,0,52.426,0,97,29.207,33.596,33.3086,32.5936,31.8538,33.2826,32.6008,33.2374,32.2228,32.1406,33.0026,32.7598,32.7072,33.2648,3.314,3.32,3.32,3.32,3.32,3.32,3.319,3.319,3.321,3.32,3.321,3.321,3.32,3.32,3.318,3.321,27-12-2022 10:19
1160339,12.8993516,77.6340199,0,52.426,0,97,29.1096,33.359,33.0694,32.3726,31.6522,33.0504,32.3828,33.02,32.0094,31.9314,32.771,32.5392,32.4786,33.0246,3.314,3.32,3.32,3.32,3.32,3.32,3.319,3.319,3.321,3.32,3.321,3.321,3.32,3.32,3.318,3.321,27-12-2022 10:19
1160340,12.8993516,77.6340199,0,52.426,0,97,29.0122,33.122,32.8302,32.1516,31.4506,32.8182,32.1648,32.8026,31.796,31.7222,32.5394,32.3186,32.25,32.7844,3.314,3.32,3.32,3.32,3.32,3.32,3.319,3.319,3.321,3.32,3.321,3.321,3.32,3.32,3.318,3.321,27-12-2022 10:19
